                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43858,                0.29737,                0.73684,                 1.0506,              0.0033321,              0.0033321,              0.0033321
                      2,                0.21974,                0.75789,                0.95526,                0.93152,              0.0065994,              0.0065994,              0.0065994
                      3,                0.12371,                0.83158,                0.97895,                0.89237,              0.0098008,              0.0098008,              0.0098008
                      4,                0.09645,                0.83684,                0.98158,                0.88713,               0.009703,               0.009703,               0.009703
                      5,                0.08027,                0.85263,                0.98947,                0.88064,               0.009703,               0.009703,               0.009703
                      6,                0.07146,                0.86053,                0.98947,                0.87539,               0.009604,               0.009604,               0.009604
                      7,                0.06478,                0.89211,                0.98947,                0.86981,               0.009505,               0.009505,               0.009505
                      8,                0.05918,                0.87632,                0.99211,                0.86906,               0.009406,               0.009406,               0.009406
                      9,                0.05619,                0.87895,                0.99737,                0.86971,               0.009307,               0.009307,               0.009307
                     10,                0.05189,                0.88158,                0.98947,                0.86934,               0.009208,               0.009208,               0.009208
                     11,                0.05021,                0.90526,                0.99211,                0.86458,               0.009109,               0.009109,               0.009109
                     12,                0.04794,                0.87105,                0.99211,                0.86784,                0.00901,                0.00901,                0.00901
                     13,                0.04561,                0.88421,                0.99211,                 0.8657,               0.008911,               0.008911,               0.008911
                     14,                0.04342,                0.89474,                0.99474,                0.86348,               0.008812,               0.008812,               0.008812
                     15,                0.04421,                0.91316,                0.99211,                0.86188,               0.008713,               0.008713,               0.008713
                     16,                0.04098,                0.88947,                0.99211,                0.86269,               0.008614,               0.008614,               0.008614
                     17,                0.04137,                0.89474,                0.98684,                0.86143,               0.008515,               0.008515,               0.008515
                     18,                0.03866,                0.91316,                0.98947,                0.85911,               0.008416,               0.008416,               0.008416
                     19,                0.03839,                0.91053,                0.99211,                0.85919,               0.008317,               0.008317,               0.008317
                     20,                0.03865,                0.90789,                0.99211,                0.85997,               0.008218,               0.008218,               0.008218
                     21,                0.03532,                0.91316,                0.98947,                0.85893,               0.008119,               0.008119,               0.008119
                     22,                0.03471,                0.91316,                0.98947,                0.85927,                0.00802,                0.00802,                0.00802
                     23,                0.03432,                0.90526,                0.99474,                0.86001,               0.007921,               0.007921,               0.007921
                     24,                0.03369,                    0.9,                0.99474,                0.86055,               0.007822,               0.007822,               0.007822
